    i            xi         f(xi)
    1 -2.000000e+00  1.600000e+01
    2 -1.999997e+00  1.599998e+01
    3 -1.999993e+00  1.599994e+01
    4 -1.999985e+00  1.599988e+01
    5 -1.999969e+00  1.599975e+01
    6 -1.999937e+00  1.599950e+01
    7 -1.999873e+00  1.599898e+01
    8 -1.999745e+00  1.599796e+01
    9 -1.999489e+00  1.599591e+01
   10 -1.998977e+00  1.599182e+01
   11 -1.997953e+00  1.598363e+01
   12 -1.995905e+00  1.596726e+01
   13 -1.991809e+00  1.593454e+01
   14 -1.983617e+00  1.586920e+01
   15 -1.967233e+00  1.573894e+01
   16 -1.934465e+00  1.548001e+01
   17 -1.868929e+00  1.496861e+01
   18 -1.737857e+00  1.397157e+01
   19 -1.475713e+00  1.208058e+01
   20 -9.514250e-01  8.710910e+00
   21  9.715100e-02  3.620834e+00
   22  2.194303e+00  3.775366e-02
segment with minimum: [9.715100e-02;6.388607e+00]
